PLAY_DATE,PLAY_NAME,THEATER_NAME,PLAY_CATEGORY,IS_GUEST_PLAY,PLAY_TYPE,LONGITUDE,LATITUDE,NUMBER_OF_AUDIENCE
2017-10-07 17:30:00 +0000 +0000,BEN ÇAĞIRMADIM,Kadıköy Haldun Taner Sahnesi,Yetişkin,0,Yabancı,29.023408,40.991770,296
2017-10-11 12:00:00 +0000 +0000,HAYAL-İ TEMSİL,Kadıköy Haldun Taner Sahnesi,Yetişkin,0,Yerli,29.023408,40.991770,276
2017-10-11 17:30:00 +0000 +0000,HAYAL-İ TEMSİL,Kadıköy Haldun Taner Sahnesi,Yetişkin,0,Yerli,29.023408,40.991770,295
2017-10-12 17:30:00 +0000 +0000,HAYAL-İ TEMSİL,Kadıköy Haldun Taner Sahnesi,Yetişkin,0,Yerli,29.023408,40.991770,282
2017-10-13 17:30:00 +0000 +0000,HAYAL-İ TEMSİL,Kadıköy Haldun Taner Sahnesi,Yetişkin,0,Yerli,29.023408,40.991770,310
2017-10-14 12:00:00 +0000 +0000,HAYAL-İ TEMSİL,Kadıköy Haldun Taner Sahnesi,Yetişkin,0,Yerli,29.023408,40.991770,300
2017-10-14 17:30:00 +0000 +0000,HAYAL-İ TEMSİL,Kadıköy Haldun Taner Sahnesi,Yetişkin,0,Yerli,29.023408,40.991770,316
2017-10-18 12:00:00 +0000 +0000,KARINCALAR - BİR SAVAŞ VARDI,Kadıköy Haldun Taner Sahnesi,Yetişkin,0,Yabancı,29.023408,40.991770,295
2017-10-18 17:30:00 +0000 +0000,KARINCALAR - BİR SAVAŞ VARDI,Kadıköy Haldun Taner Sahnesi,Yetişkin,0,Yabancı,29.023408,40.991770,314
2017-10-19 17:30:00 +0000 +0000,KARINCALAR - BİR SAVAŞ VARDI,Kadıköy Haldun Taner Sahnesi,Yetişkin,0,Yabancı,29.023408,40.991770,286
2017-10-20 17:30:00 +0000 +0000,KARINCALAR - BİR SAVAŞ VARDI,Kadıköy Haldun Taner Sahnesi,Yetişkin,0,Yabancı,29.023408,40.991770,309
